date,city,city_name,total,houses,non_houses
2004-02-01,Hobart,Greater Hobart,79.0,76.0,3.0
2004-02-01,Darwin,Greater Darwin,77.0,16.0,61.0
2004-02-01,ACT,Australian Capital Territory,216.0,125.0,91.0
2004-03-01,Sydney,Greater Sydney,2675.0,825.0,1850.0
2004-03-01,Melbourne,Greater Melbourne,2720.0,2066.0,654.0
2004-03-01,Brisbane,Greater Brisbane,2125.0,1322.0,803.0
2004-03-01,Adelaide,Greater Adelaide,672.0,525.0,147.0
2004-03-01,Perth,Greater Perth,1780.0,1446.0,334.0
2004-03-01,Hobart,Greater Hobart,124.0,119.0,5.0
2004-03-01,Darwin,Greater Darwin,79.0,46.0,33.0
2004-03-01,ACT,Australian Capital Territory,202.0,94.0,108.0
2004-04-01,Sydney,Greater Sydney,2331.0,658.0,1673.0
2004-04-01,Melbourne,Greater Melbourne,2712.0,1837.0,875.0
2004-04-01,Brisbane,Greater Brisbane,1549.0,980.0,569.0
2004-04-01,Adelaide,Greater Adelaide,571.0,453.0,118.0
2004-04-01,Perth,Greater Perth,1290.0,1035.0,255.0
2004-04-01,Hobart,Greater Hobart,153.0,134.0,19.0
2004-04-01,Darwin,Greater Darwin,41.0,20.0,21.0
2004-04-01,ACT,Australian Capital Territory,243.0,87.0,156.0
2004-05-01,Sydney,Greater Sydney,2528.0,702.0,1826.0
2004-05-01,Melbourne,Greater Melbourne,2958.0,1903.0,1055.0
2004-05-01,Brisbane,Greater Brisbane,1429.0,868.0,561.0
2004-05-01,Adelaide,Greater Adelaide,688.0,457.0,231.0
2004-05-01,Perth,Greater Perth,1729.0,1360.0,369.0
2004-05-01,Hobart,Greater Hobart,166.0,93.0,73.0
2004-05-01,Darwin,Greater Darwin,96.0,28.0,68.0
2004-05-01,ACT,Australian Capital Territory,734.0,110.0,624.0
2004-06-01,Sydney,Greater Sydney,2082.0,751.0,1331.0
2004-06-01,Melbourne,Greater Melbourne,2484.0,1984.0,500.0
2004-06-01,Brisbane,Greater Brisbane,1487.0,915.0,572.0
2004-06-01,Adelaide,Greater Adelaide,866.0,691.0,175.0
2004-06-01,Perth,Greater Perth,1653.0,1244.0,409.0
2004-06-01,Hobart,Greater Hobart,96.0,79.0,17.0
2004-06-01,Darwin,Greater Darwin,108.0,31.0,77.0
2004-06-01,ACT,Australian Capital Territory,193.0,73.0,120.0
2004-07-01,Sydney,Greater Sydney,2412.0,675.0,1737.0
2004-07-01,Melbourne,Greater Melbourne,2746.0,1979.0,767.0
2004-07-01,Brisbane,Greater Brisbane,1364.0,966.0,398.0
2004-07-01,Adelaide,Greater Adelaide,776.0,484.0,292.0
2004-07-01,Perth,Greater Perth,1633.0,1079.0,554.0
2004-07-01,Hobart,Greater Hobart,80.0,78.0,2.0
2004-07-01,Darwin,Greater Darwin,101.0,45.0,56.0
2004-07-01,ACT,Australian Capital Territory,72.0,72.0,0.0
2004-08-01,Sydney,Greater Sydney,2276.0,779.0,1497.0
2004-08-01,Melbourne,Greater Melbourne,2658.0,1664.0,994.0
2004-08-01,Brisbane,Greater Brisbane,1508.0,1032.0,476.0
2004-08-01,Adelaide,Greater Adelaide,748.0,579.0,169.0
2004-08-01,Perth,Greater Perth,1582.0,1309.0,273.0
2004-08-01,Hobart,Greater Hobart,112.0,94.0,18.0
2004-08-01,Darwin,Greater Darwin,124.0,54.0,70.0
2004-08-01,ACT,Australian Capital Territory,109.0,101.0,8.0
2004-09-01,Sydney,Greater Sydney,2013.0,663.0,1350.0
2004-09-01,Melbourne,Greater Melbourne,2335.0,1691.0,644.0
2004-09-01,Brisbane,Greater Brisbane,1615.0,941.0,674.0
2004-09-01,Adelaide,Greater Adelaide,602.0,475.0,127.0
2004-09-01,Perth,Greater Perth,1675.0,1327.0,348.0
2004-09-01,Hobart,Greater Hobart,85.0,83.0,2.0
2004-09-01,Darwin,Greater Darwin,170.0,36.0,134.0
2004-09-01,ACT,Australian Capital Territory,92.0,70.0,22.0
2004-10-01,Sydney,Greater Sydney,1819.0,610.0,1209.0
2004-10-01,Melbourne,Greater Melbourne,2614.0,1727.0,887.0
2004-10-01,Brisbane,Greater Brisbane,1593.0,856.0,737.0
2004-10-01,Adelaide,Greater Adelaide,657.0,443.0,214.0
2004-10-01,Perth,Greater Perth,1339.0,1013.0,326.0
2004-10-01,Hobart,Greater Hobart,130.0,71.0,59.0
2004-10-01,Darwin,Greater Darwin,62.0,33.0,29.0
2004-10-01,ACT,Australian Capital Territory,75.0,72.0,3.0
2004-11-01,Sydney,Greater Sydney,1949.0,686.0,1263.0
2004-11-01,Melbourne,Greater Melbourne,2592.0,1857.0,735.0
2004-11-01,Brisbane,Greater Brisbane,1151.0,921.0,230.0
2004-11-01,Adelaide,Greater Adelaide,662.0,512.0,150.0
2004-11-01,Perth,Greater Perth,1532.0,1351.0,181.0
2004-11-01,Hobart,Greater Hobart,104.0,93.0,11.0
2004-11-01,Darwin,Greater Darwin,97.0,22.0,75.0
2004-11-01,ACT,Australian Capital Territory,251.0,63.0,188.0
2004-12-01,Sydney,Greater Sydney,1650.0,553.0,1097.0
2004-12-01,Melbourne,Greater Melbourne,1995.0,1280.0,715.0
2004-12-01,Brisbane,Greater Brisbane,1510.0,736.0,774.0
2004-12-01,Adelaide,Greater Adelaide,705.0,555.0,150.0
2004-12-01,Perth,Greater Perth,1589.0,1214.0,375.0
2004-12-01,Hobart,Greater Hobart,84.0,76.0,8.0
2004-12-01,Darwin,Greater Darwin,69.0,26.0,43.0
2004-12-01,ACT,Australian Capital Territory,543.0,74.0,469.0
2005-01-01,Sydney,Greater Sydney,1455.0,443.0,1012.0
2005-01-01,Melbourne,Greater Melbourne,1631.0,1273.0,358.0
2005-01-01,Brisbane,Greater Brisbane,1031.0,613.0,418.0
2005-01-01,Adelaide,Greater Adelaide,656.0,331.0,325.0
2005-01-01,Perth,Greater Perth,1375.0,1210.0,165.0
2005-01-01,Hobart,Greater Hobart,58.0,52.0,6.0
2005-01-01,Darwin,Greater Darwin,60.0,20.0,40.0
2005-01-01,ACT,Australian Capital Territory,481.0,28.0,453.0
2005-02-01,Sydney,Greater Sydney,1898.0,625.0,1273.0
2005-02-01,Melbourne,Greater Melbourne,2342.0,1606.0,736.0
2005-02-01,Brisbane,Greater Brisbane,1239.0,822.0,417.0
2005-02-01,Adelaide,Greater Adelaide,502.0,429.0,73.0
2005-02-01,Perth,Greater Perth,1598.0,1252.0,346.0
2005-02-01,Hobart,Greater Hobart,57.0,51.0,6.0
2005-02-01,Darwin,Greater Darwin,135.0,44.0,91.0
2005-02-01,ACT,Australian Capital Territory,47.0,47.0,0.0
2005-03-01,Sydney,Greater Sydney,1876.0,553.0,1323.0
2005-03-01,Melbourne,Greater Melbourne,2423.0,1692.0,731.0
2005-03-01,Brisbane,Greater Brisbane,1234.0,786.0,448.0
2005-03-01,Adelaide,Greater Adelaide,688.0,504.0,184.0
2005-03-01,Perth,Greater Perth,1587.0,1239.0,348.0
2005-03-01,Hobart,Greater Hobart,88.0,80.0,8.0
2005-03-01,Darwin,Greater Darwin,61.0,37.0,24.0
2005-03-01,ACT,Australian Capital Territory,154.0,104.0,50.0
2005-04-01,Sydney,Greater Sydney,1891.0,530.0,1361.0
2005-04-01,Melbourne,Greater Melbourne,2762.0,1762.0,1000.0
